Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34897,"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,"Jordan, Robert",,"=""0765305119""","=""9780765305114""",4,4.26,Tor Books,Mass Market Paperback,624,2002,1991,2021/07/03,2021/07/01,,,read,,,,1,,,0,,,,,
233649,"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,"Jordan, Robert",,"=""0812517725""","=""9780812517729""",4,4.25,Tor Books,Mass Market Paperback,705,1991,1990,2021/06/16,2021/06/04,,,read,,,,1,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",4,4.26,"Little, Brown and Company",Hardcover,393,2018,2018,2021/05/31,2021/05/23,,,read,,,,1,,,0,,,,,
44101668,Leonard and Hungry Paul,Ronan Hession,"Hession, Ronan",,"=""""","=""""",4,4.16,Bluemoose Books,Kindle Edition,209,2019,2019,2021/05/26,2021/05/23,,,read,,,,1,,,0,,,,,
79649,The Seagull,Anton Chekhov,"Chekhov, Anton",Laurence Senelick,"=""0413771008""","=""9780413771001""",0,3.90,Bloomsbury Methuen Drama,Paperback,65,2002,1895,,2021/05/23,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
87346,The Cherry Orchard,Anton Chekhov,"Chekhov, Anton",Tom    Murphy,"=""0413774031""","=""9780413774033""",0,3.68,Bloomsbury Methuen Drama,Paperback,96,2004,1903,,2021/05/23,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",4,3.98,Alfred A. Knopf,Hardcover,241,2006,2006,,2021/05/23,,,read,,,,1,,,0,,,,,
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",3,3.97,Scribner,Paperback,471,1995,1940,,2021/05/23,,,read,,,,1,,,0,,,,,
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",Alfred Liebfeld,"=""067001690X""","=""9780670016907""",4,3.99,Viking,Hardcover,479,2014,1939,,2021/05/23,,,read,,,,1,,,0,,,,,
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Sam Ngo, Mark Oxford, Charles Green, F.W. Pailthorpe","=""0192833596""","=""9780192833594""",2,3.79,Oxford University Press,Paperback,544,1998,1860,,2021/05/23,,,read,,,,1,,,0,,,,,
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",3,3.98,Simon & Schuster ,Paperback,453,2004,1961,,2021/05/23,,,read,,,,1,,,0,,,,,
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,"=""1400032717""","=""9781400032716""",4,3.89,Vintage,Paperback,226,2004,2003,,2021/05/23,,,read,,,,1,,,0,,,,,
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",3,3.93,Seal Books,Paperback,460,2006,2001,,2021/05/23,,,read,,,,1,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",4,4.15,Knopf,Hardcover,480,2008,2005,,2021/05/23,,,read,,,,1,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",2,4.38,Alfred A. Knopf,Hardcover,552,2006,2007,,2021/05/23,,,read,,,,1,,,0,,,,,
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",4,3.97,Signet Classics,Mass Market Paperback,141,1996,1945,,2021/05/23,,,read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",4,3.93,Scribner,Paperback,200,2004,1925,,2021/05/23,,,read,,,,0,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",5,4.27,Harper Perennial Modern Classics ,Paperback,336,2006,1960,,2021/05/23,,,read,,,,1,,,0,,,,,
53808919,Superior: The Return of Race Science,Angela Saini,"Saini, Angela",,"=""""","=""""",0,4.26,Fourth Estate,Kindle Edition,351,2019,2019,,2021/05/23,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
29335763,Cowboy Song: The Authorised Biography of Philip Lynott,Graeme Thomson,"Thomson, Graeme",,"=""""","=""""",0,4.16,Constable,Kindle Edition,368,2016,2016,,2021/05/23,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo","Alan R. Clarke, James Noel Smith","=""0062315005""","=""9780062315007""",0,3.90,HarperOne,Paperback,182,2014,1988,,2021/05/23,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
41817486,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393341763""","=""9780393341768""",5,4.00,W. W. Norton & Company,Paperback,213,2019,1962,,2021/05/23,,,read,,,,1,,,0,,,,,
17245,Dracula,Bram Stoker,"Stoker, Bram","David J. Skal, Nina Auerbach","=""0393970124""","=""9780393970128""",0,4.01,Norton,Paperback,488,1986,1897,,2021/05/23,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Jemima Catlin, Michael Hague, Douglas A. Anderson","=""""","=""""",4,4.28,Houghton Mifflin,Paperback,366,2002,1937,,2021/05/23,,,read,,,,1,,,0,,,,,
4900,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",Aníbal Fernandes,"=""1892295490""","=""9781892295491""",4,3.43,Green Integer,Paperback,188,2003,1899,,2021/05/23,,,read,,,,1,,,0,,,,,
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",,"=""""","=""""",0,3.90,Ace,Kindle Edition,292,2000,1984,,2021/05/23,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",0,4.17,Bantam,Hardcover,244,2004,1951,,2021/05/23,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",3,4.25,Ace Books,Hardcover,658,2019,1965,,2021/05/23,,,read,,,,1,,,0,,,,,
2052,The Big Sleep,Raymond Chandler,"Chandler, Raymond",,"=""0394758285""","=""9780394758282""",5,3.96,Vintage Crime,Paperback,231,1988,1939,,2021/05/23,,,read,,,,1,,,0,,,,,
19696137,Olive Kitteridge,Elizabeth Strout,"Strout, Elizabeth",,"=""""","=""""",5,3.84,Simon & Schuster UK,Kindle Edition,280,2013,2008,2021/05/23,2021/05/19,,,read,,,,1,,,0,,,,,
27405691,Hitman Anders and the Meaning of It All,Jonas Jonasson,"Jonasson, Jonas",Rachel Willson-Broyles,"=""""","=""""",3,3.39,Fourth Estate,Kindle Edition,384,2016,2015,2021/05/18,2021/04/26,,,read,,,,1,,,0,,,,,
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",5,4.08,Vintage,Paperback,343,1994,1965,,2021/05/13,,,read,,,,1,,,0,,,,,
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",نجف دریابندری,"=""""","=""""",5,4.14,Faber & Faber,Paperback,258,2005,1989,2021/05/13,2021/05/10,,,read,,,,1,,,0,,,,,
13667,"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""141650964X""","=""9781416509646""",3,4.12,Gallery Books,Paperback,259,2004,1972,2021/05/08,2021/05/02,,,read,,,,1,,,0,,,,,
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0553383043""","=""9780553383041""",5,4.00,,Paperback,183,2004,1968,,2021/05/03,,,read,,,,1,,,0,,,,,
13662,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,"Guin, Ursula K. Le",Margot Paronis,"=""0689845367""","=""9780689845369""",4,4.10,Gallery / Saga Press,Mass Market Paperback,180,2001,1970,,2021/05/02,,,read,,,,1,,,0,,,,,
35074096,"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,"=""0718188721""","=""9780718188726""",4,4.27,Michael Joseph,Hardcover,416,2017,2017,,2021/04/11,,,read,,,,1,,,0,,,,,
41433634,"Heroes: Mortals and Monsters, Quests and Adventures (Stephen Fry's Great Mythology, #2)",Stephen Fry,"Fry, Stephen",,"=""0241380375""","=""9780241380376""",3,4.31,Michael Joseph,Paperback,415,2018,2018,,2021/04/26,,,read,,,,1,,,0,,,,,
53443339,Troy,Stephen Fry,"Fry, Stephen",,"=""0241424585""","=""9780241424582""",4,4.37,Michael Joseph,Hardcover,432,2020,2020,,2021/04/26,,,read,,,,1,,,0,,,,,
11211533,"The Wee Free Men (Discworld, #30)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.27,RHCP Digital;,Kindle Edition,404,2010,2003,2021/05/03,2021/05/02,,,read,,,,1,,,0,,,,,
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu","Bruno Roubicek, Joel Martinsen, Eisso Post, Richard Heufkens","=""""","=""""",0,4.41,Tor Books,Hardcover,512,2015,2008,,2021/04/26,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
26224404,The Man Who Fell to Earth,Walter Tevis,"Tevis, Walter",,"=""""","=""""",4,4.06,Gateway,Kindle Edition,226,2016,1963,2021/04/16,2021/04/16,,,read,,,,1,,,0,,,,,
35006235,Whiteout (Dark Iceland #5),Ragnar Jónasson,"Jónasson, Ragnar",Quentin Bates,"=""""","=""""",2,3.90,ORENDA BOOKS,Kindle Edition,203,2017,2013,2021/01/25,2021/01/25,,,read,,,,1,,,0,,,,,
11177551,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",3,3.97,Pan Books,Kindle Edition,291,2009,1987,2021/01/23,2021/01/23,,,read,,,,1,,,0,,,,,
11340886,"Hogfather (Discworld, #20)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.23,Transworld Digital,Kindle Edition,421,2010,1996,2021/01/05,2021/01/05,,,read,,,,1,,,0,,,,,
17157434,"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""""","=""""",3,4.28,Harper Collins Children's eBooks,Kindle Edition,320,2012,1986,2020/12/26,2020/12/26,,,read,,,,1,,,0,,,,,
35510008,This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,"Kay, Adam",,"=""""","=""""",4,4.41,Picador,Kindle Edition,285,2017,2017,2019/02/16,2019/02/25,,,read,,,,1,,,0,,,,,
23534864,The Maltese Falcon,Dashiell Hammett,"Hammett, Dashiell",,"=""""","=""""",3,3.89,The Murder Room,Kindle Edition,226,2014,1930,2020/10/13,2020/10/13,,,read,,,,1,,,0,,,,,
26596352,Jonathan Livingston Seagull: A story,Richard Bach,"Bach, Richard",Russell Munson,"=""""","=""""",4,3.85,Harper Thorsons,Kindle Edition,145,2015,1970,2020/09/12,2020/09/12,,,read,,,,1,,,0,,,,,
19785396,The Almost Nearly Perfect People: Behind the Myth of the Scandinavian Utopia,Michael Booth,"Booth, Michael",,"=""""","=""""",5,3.86,Vintage Digital,Kindle Edition,418,2014,2014,2020/09/10,2020/09/10,,,read,,,,1,,,0,,,,,
43205983,In the Night Wood,Dale Bailey,"Bailey, Dale",,"=""""","=""""",3,3.37,HarperVoyager,Kindle Edition,259,2019,2018,2020/08/07,2020/08/07,,,read,,,,1,,,0,,,,,
36576608,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",5,4.17,,Paperback,216,,1959,,2020/07/31,,,read,,,,2,,,0,,,,,
50279046,The Corrections,Jonathan Franzen,"Franzen, Jonathan",,"=""""","=""""",4,3.81,"Farrar, Straus and Giroux",Kindle Edition,580,2020,2001,2020/07/24,2020/07/24,,,read,,,,1,,,0,,,,,
17906646,The Martian Chronicles,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",3,4.15,Harper Voyager ,Kindle Edition,243,2013,1950,,2020/07/04,,,read,,,,1,,,0,,,,,
50278121,Freedom,Jonathan Franzen,"Franzen, Jonathan",,"=""""","=""""",4,3.76,Fourth Estate,Kindle Edition,610,2020,2010,2020/07/04,2020/07/04,,,read,,,,1,,,0,,,,,
11549636,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",3,4.12,Picador,Kindle Edition,322,2010,2005,2020/06/08,2020/06/08,,,read,,,,1,,,0,,,,,
18741301,Doctor Sleep,Stephen King,"King, Stephen",,"=""""","=""""",4,4.12,Hodder & Stoughton,Kindle Edition,497,2013,2013,2020/04/18,2020/04/18,,,read,,,,1,,,0,,,,,
11203854,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""""","=""""",4,4.18,Orbit,Kindle Edition,753,2009,1990,2020/04/07,2020/04/07,,,read,,,,1,,,0,,,,,
29745548,Invisible Man,Ralph Ellison,"Ellison, Ralph",John Callahan,"=""""","=""""",4,3.90,Penguin,Kindle Edition,602,2016,1952,,2019/01/21,,,read,,,,1,,,0,,,,,
34527752,Why I’m No Longer Talking to White People About Race,Reni Eddo-Lodge,"Eddo-Lodge, Reni",,"=""""","=""""",4,4.39,Bloomsbury Publishing,Kindle Edition,244,2017,2017,2018/08/09,2018/08/09,,,read,,,,1,,,0,,,,,
10644930,11/22/63,Stephen King,"King, Stephen",,"=""1451627289""","=""9781451627282""",5,4.31,Scribner,Hardcover,849,2011,2011,,2018/08/29,,,read,,,,1,,,0,,,,,
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,"=""0375826726""","=""9780375826726""",4,4.06,Alfred A. Knopf,Hardcover,748,2008,2008,,2019/12/03,,,read,,,,1,,,0,,,,,
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"Paolini, Christopher",Ieva Venskevičiūtė,"=""0375840400""","=""9780375840401""",4,4.00,Knopf Books for Young Readers,Paperback,704,2007,2005,,2019/12/03,,,read,,,,1,,,0,,,,,
11711765,"Inheritance (Inheritance, #4)",Christopher Paolini,"Paolini, Christopher",,"=""""","=""""",3,4.11,,Kindle Edition,882,,2011,2019/12/03,2019/12/03,,,read,,,,1,,,0,,,,,
13076132,"Eragon, Eldest & Brisingr (Inheritance, #1-3)",Christopher Paolini,"Paolini, Christopher",,"=""""","=""""",4,4.24,,Kindle Edition,1516,,2008,2019/11/16,2019/11/16,,,read,,,,1,,,0,,,,,
24856109,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",3,4.07,Head of Zeus,Kindle Edition,400,2015,2006,2019/09/05,2019/08/26,,,read,,,,1,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",5,4.08,Dial Press,Paperback,275,1999,1969,,2019/08/26,,,read,,,,1,,,0,,,,,
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",3,4.09,Ballantine Books,Kindle Edition,258,2008,1968,,2019/08/26,,,read,,,,1,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",3,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2019/08/26,,,read,,,,1,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",4,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2019/08/26,,,read,,,,1,,,0,,,,,
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",2,4.24,Crown Publishers,Hardcover,374,2011,2011,,2019/08/26,,,read,,,,1,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,4.40,Crown,Hardcover,384,2014,2011,,2019/08/26,,,read,,,,1,,,0,,,,,
34661984,How Not To Be a Boy,Robert Webb,"Webb, Robert",,"=""""","=""""",5,4.20,Canongate Books,Kindle Edition,337,2017,2017,,2019/08/26,,,read,,,,1,,,0,,,,,
12946886,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",Robert Faggen,"=""""","=""""",4,4.20,Penguin,Kindle Edition,324,2011,1962,2019/08/08,2019/08/08,,,read,,,,1,,,0,,,,,
32144990,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",3,4.09,Bloomsbury Publishing,Kindle Edition,260,2017,2017,2019/06/08,2019/01/21,,,read,,,,1,,,0,,,,,
18635622,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)",George R.R. Martin,"Martin, George R.R.",Gary Gianni,"=""0345533488""","=""9780345533487""",4,4.21,Bantam,Hardcover,355,2015,2013,,2019/05/27,,,read,,,,1,,,0,,,,,
30212074,"The Bassoon King: Art, Idiocy, and Other Sordid Tales from the Band Room",Rainn Wilson,"Wilson, Rainn",,"=""0451469437""","=""9780451469434""",4,3.72,Dutton Books,Paperback,336,2016,2015,,2019/03/20,,,read,,,,1,,,0,,,,,
778959,Tortilla Flat,John Steinbeck,"Steinbeck, John",,"=""0140042407""","=""9780140042405""",3,3.83,Penguin Books,Paperback,207,1977,1935,,2019/03/07,,,read,,,,1,,,0,,,,,
18937575,The Golem and the Djinni,Helene Wecker,"Wecker, Helene",,"=""0007480180""","=""9780007480180""",3,4.11,Blue Door,ebook,656,2013,2013,2019/02/24,2019/01/18,,,read,,,,1,,,0,,,,,
18886906,The Godfather,Mario Puzo,"Puzo, Mario",,"=""""","=""""",0,4.37,Cornerstone Digital,Kindle Edition,612,2012,1969,,2019/01/21,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
2457487,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""0349121087""","=""9780349121086""",0,4.26,Abacus Fiction,Paperback,1104,1997,1996,,2019/01/21,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
33516990,Other Minds: The Octopus and the Evolution of Intelligent Life,Peter Godfrey-Smith,"Godfrey-Smith, Peter",,"=""""","=""""",0,3.87,William Collins,Kindle Edition,272,2017,2016,,2019/01/21,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
11318033,"Eragon (Inheritance, #1)",Christopher Paolini,"Paolini, Christopher",,"=""""","=""""",4,3.92,,Kindle Edition,536,,2002,2019/01/18,2019/01/18,,,read,,,,1,,,0,,,,,
11588,The Shining,Stephen King,"King, Stephen",,"=""0450040186""","=""9780450040184""",4,4.25,New English Library (Hodder & Stoughton) ,Paperback,659,1980,1977,,2018/08/29,,,read,,,,1,,,0,,,,,
10614,Misery,Stephen King,"King, Stephen",,"=""0450417395""","=""9780450417399""",5,4.19,New English Library,Paperback,370,1988,1987,,2018/08/29,,,read,,,,1,,,0,,,,,
830502,It,Stephen King,"King, Stephen",,"=""0450411435""","=""9780450411434""",3,4.25,New English Library,Paperback,1116,1987,1986,,2018/08/29,,,read,,,,1,,,0,,,,,
10592,Carrie,Stephen King,"King, Stephen",,"=""1416524304""","=""9781416524304""",3,3.98,Pocket Books,Mass Market Paperback,253,2005,1974,,2018/08/29,,,read,,,,1,,,0,,,,,
34448972,The Templars: The Rise and Fall of God's Holy Warriors,Dan Jones,"Jones, Dan",,"=""""","=""""",4,3.88,Head of Zeus,Kindle Edition,,2017,2017,2018/08/07,2018/08/07,,,read,,,,1,,,0,,,,,
17880067,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",5,3.98,HarperVoyager,Kindle Edition,119,2013,1953,2018/08/02,2018/08/02,,,read,,,,1,,,0,,,,,
896105,Batman: The Dark Knight Returns,Frank Miller,"Miller, Frank","Klaus Janson, Lynn Varley","=""1852867981""","=""9781852867980""",4,4.26,Titan Books,Paperback,224,1997,1986,,2018/04/15,,,read,,,,1,,,0,,,,,
827406,V For Vendetta,Alan Moore,"Moore, Alan","David   Lloyd, Steve Whitaker, Siobhan Dodds","=""1852862912""","=""9781852862916""",5,4.25,Titan Books Ltd.,Paperback,286,1990,1990,,2018/04/15,,,read,,,,1,,,0,,,,,
15745890,Watchmen,Alan Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""1852860243""","=""9781852860240""",5,4.37,Titan Books,Paperback,424,1987,1987,,2018/04/15,,,read,,,,1,,,0,,,,,
17985928,We,Yevgeny Zamyatin,"Zamyatin, Yevgeny",,"=""""","=""""",3,3.91,Momentum,Kindle Edition,224,2013,1924,,2018/04/15,,,read,,,,1,,,0,,,,,
18680050,The Thirty-Nine Steps,John Buchan,"Buchan, John",,"=""""","=""""",4,3.62,,Kindle Edition,136,2012,1915,,2018/04/15,,,read,,,,1,,,0,,,,,
12935683,American Gods,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",3,4.11,Review,Kindle Edition,672,2011,2001,,2018/04/15,,,read,,,,1,,,0,,,,,
26084716,"The Disaster Artist: My Life Inside The Room, the Greatest Bad Movie Ever Made",Greg Sestero,"Sestero, Greg",Tom Bissell,"=""0751561878""","=""9780751561876""",5,4.26,Sphere,Paperback,288,2015,2013,,2018/04/15,,,read,,,,1,,,0,,,,,
18885297,An Astronaut's Guide to Life on Earth,Chris Hadfield,"Hadfield, Chris",,"=""""","=""9781447257127""",4,4.15,Macmillan,Kindle Edition,305,2013,2013,,2018/04/15,,,read,,,,1,,,0,,,,,
23298594,Ayoade on Ayoade,Richard Ayoade,"Ayoade, Richard",,"=""""","=""""",4,3.47,Faber & Faber,Kindle Edition,320,2014,2014,,2018/04/15,,,read,,,,1,,,0,,,,,
23346740,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah","John  Purcell, Haim Watzman","=""""","=""""",4,4.39,Vintage,Paperback,498,2014,2011,,2018/04/15,,,read,,,,1,,,0,,,,,
11223160,East of Eden,John Steinbeck,"Steinbeck, John",,"=""""","=""""",5,4.39,Penguin,Kindle Edition,620,2000,1952,,2018/04/15,,,read,,,,1,,,0,,,,,
